# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
100 5.14297 20.3541
200 -6.5362 12.2894
300 -20.8555 -12.7186
400 6.26555 -11.7079
500 27.2545 3.64425
600 56.7003 2.7428
700 -1.61459 -40.2442
800 -30.6365 -27.3733
900 -0.754985 24.2439
1000 35.177 19.4388
1100 4.48948 5.21066
1200 -4.80487 -29.9178
1300 -5.44499 -37.5559
1400 -6.95836 5.97773
1500 8.81404 -21.3784
1600 8.56542 16.9826
1700 13.5504 -16.0431
1800 2.34621 -22.0836
1900 34.4728 -42.1781
2000 -26.6926 23.5668
2100 23.5018 15.6397
2200 3.55103 9.24315
2300 -12.2709 -31.6249
2400 15.24 -25.3633
2500 29.4126 8.54712
2600 29.7608 -11.9301
2700 14.6786 45.4981
2800 -10.4456 -33.0375
2900 7.54446 -7.53587
3000 -19.2662 -17.9747
3100 42.2528 2.96727
3200 -20.3521 8.48051
3300 25.7449 -35.4756
3400 -1.74698 -7.78055
3500 4.41571 -30.8954
3600 1.18393 -8.886
3700 16.2056 -16.9663
3800 -1.62962 15.4671
3900 26.0502 -24.7313
4000 -6.40829 -27.6169
4100 -24.6199 -0.865663
4200 20.538 -3.41606
4300 82.2646 -6.90526
4400 -5.38327 -0.695295
4500 13.4388 -10.3664
4600 -0.962554 -7.0271
4700 7.82543 19.2735
4800 11.3074 11.2217
4900 5.08724 -7.02921
5000 19.5898 -37.4844
5100 15.5879 -2.10886
5200 33.9636 -32.1696
5300 -18.0472 -49.4131
5400 -5.51433 0.990081
5500 -6.51237 -2.61408
5600 -21.392 24.2172
5700 3.94475 -22.0184
5800 -15.8902 -13.2953
5900 4.56186 -19.7374
6000 16.3154 15.9943
6100 25.636 13.864
6200 -11.8991 9.91627
6300 -8.66505 13.7339
6400 13.3826 9.52314
6500 10.4986 44.2894
6600 11.4691 -11.032
6700 -4.65312 -10.8951
6800 7.19807 0.757173
6900 -25.0382 -17.758
7000 -0.713733 21.2528
7100 -45.5053 -23.7101
7200 -16.9877 -5.86256
7300 -13.8481 13.0904
7400 15.1373 -30.896
7500 3.29314 11.9726
7600 3.56913 14.4795
7700 -13.4473 20.0465
7800 5.67165 27.3345
7900 25.227 21.8473
8000 11.5706 -10.5859
8100 -19.4327 9.75975
8200 22.1703 -1.51832
8300 -17.3783 8.37001
8400 -30.2446 -5.17606
8500 -43.2557 -10.8186
8600 5.14258 -5.01816
8700 -1.06998 4.49945
8800 -2.60525 -22.6161
8900 -3.8419 -8.71845
9000 -18.3215 34.0832
9100 26.6396 29.6036
9200 -12.1141 38.6586
9300 15.6032 -17.785
9400 28.5903 4.69822
9500 7.74323 10.9247
9600 -28.7641 6.77073
9700 -25.0501 -22.8688
9800 -29.6361 21.7556
9900 -9.69957 0.0377319
10000 0.91036 -25.1554
10100 -14.56 -12.285
10200 -3.05244 2.99389
10300 14.4369 33.7471
10400 -8.81355 11.9215
10500 -20.1805 12.5493
10600 46.3973 12.782
10700 12.2167 30.6431
10800 -5.06824 -18.0737
10900 -28.4003 10.2398
11000 -30.7632 4.25399
11100 -0.224651 8.5317
11200 -17.5594 -28.057
11300 -30.1709 -20.472
11400 23.5813 1.05534
11500 -23.3297 19.1709
11600 -8.06183 16.4811
11700 3.23466 10.7983
11800 -3.57064 8.63593
11900 42.7755 30.7344
12000 0.700569 -10.1387
12100 -21.2319 25.0946
12200 -9.41076 9.63822
12300 -0.002353 4.13887
12400 -40.7377 -19.5487
12500 6.53132 -23.7135
12600 -16.245 6.55018
12700 -6.85993 8.75902
12800 -23.8041 11.1432
12900 -14.5963 4.24328
13000 31.8542 47.6906
13100 22.0384 -18.7016
13200 -7.63577 8.95568
13300 -17.455 27.3779
13400 20.2568 13.8294
13500 -27.9105 15.3875
13600 -28.5238 -45.5007
13700 -2.19173 -1.16127
13800 0.225654 -2.97049
13900 -21.8709 13.8732
14000 -36.0652 -1.78507
14100 8.90673 16.4552
14200 24.9151 18.4295
14300 6.47491 -3.23874
14400 -1.27855 24.2253
14500 9.55342 22.9877
14600 -10.3608 25.0807
14700 -24.0897 -10.0067
14800 -8.91894 -28.9995
14900 -12.477 -6.01381
15000 -13.431 15.5964
