# Time-averaged data for fix at3
# TimeStep c_Tmid
100 928.56
200 680.174
300 545.146
400 447.96
500 389.982
600 351.884
700 335.771
800 320.102
900 314.603
1000 307.268
1100 304.22
1200 301.371
1300 303.669
1400 302.207
1500 305.929
1600 296.99
1700 302.783
1800 297.43
1900 303.673
2000 299.402
2100 300.307
2200 303.86
2300 300.885
2400 299.797
2500 302.156
2600 299.255
2700 301.329
2800 299.676
2900 299.91
3000 300.349
3100 297.696
3200 300.9
3300 301.041
3400 297.99
3500 297.335
3600 302.921
3700 299.772
3800 303.567
3900 300.509
4000 301.139
4100 297.268
4200 302.185
4300 301.306
4400 301.303
4500 297.721
4600 298.647
4700 300.2
4800 300.772
4900 298.878
5000 302.834
5100 299.07
5200 302.422
5300 300.229
5400 300.582
5500 301.178
5600 299.297
5700 299.065
5800 301.447
5900 300.83
6000 301.878
6100 300.675
6200 301.756
6300 299.139
6400 299.852
6500 300.227
6600 302.182
6700 300.555
6800 302.263
6900 299.05
7000 300.288
7100 303.064
7200 299.185
7300 300.496
7400 300.09
7500 303.899
7600 303.948
7700 300.142
7800 301.262
7900 302.996
8000 299.417
8100 303.891
8200 301.289
8300 301.722
8400 298.492
8500 303.374
8600 298.163
8700 300.771
8800 303.991
8900 301.549
9000 299.328
9100 300.907
9200 301.678
9300 301.668
9400 301.476
9500 296.63
9600 302.212
9700 300.075
9800 299.835
9900 299.374
10000 300.929
10100 300.66
10200 304.526
10300 298.504
10400 300.489
10500 299.546
10600 296.437
10700 302.762
10800 301.606
10900 299.353
11000 303.983
11100 298.349
11200 299.745
11300 306.018
11400 299.388
11500 303.726
11600 300.827
11700 299.904
11800 300.288
11900 305.85
12000 296.932
12100 299.64
12200 300.516
12300 301.177
12400 299.675
12500 299.745
12600 302.724
12700 301.321
12800 299.513
12900 302.011
13000 295.404
13100 302.218
13200 301.361
13300 302.59
13400 302.35
13500 302.011
13600 298.767
13700 297.382
13800 300.301
13900 303.478
14000 300.853
14100 304.432
14200 299.433
14300 299.746
14400 303.266
14500 303.055
14600 299.659
14700 302.497
14800 298.995
14900 298.673
15000 300.79
